Date,NAAIM Number
3/11/2020,16.59
3/4/2020,29.03
2/26/2020,65.03
2/19/2020,87.91
2/12/2020,86.08
2/5/2020,62.49
1/29/2020,77.07
1/22/2020,93.75
1/15/2020,89.47
1/8/2020,94.16
1/1/2020,86.99
12/25/2019,97.44
12/18/2019,98.9
12/11/2019,78.71
12/4/2019,77.8
11/27/2019,76.66
11/20/2019,78.23
11/13/2019,72.25
11/6/2019,92.26
10/30/2019,88.94
10/23/2019,65.67
10/16/2019,57.08
10/9/2019,57.32
10/2/2019,57.39
9/25/2019,64.85
9/18/2019,77.09
9/11/2019,75.76
9/4/2019,56.15
8/28/2019,59.99
8/21/2019,70.18
8/14/2019,58.08
8/7/2019,56.59
7/31/2019,91.41
7/24/2019,95.75
7/17/2019,81.85
7/10/2019,87.34
7/3/2019,79.36
6/26/2019,72.28
6/19/2019,74.91
6/12/2019,74.26
6/5/2019,54.99
5/29/2019,59.69
5/22/2019,70.07
5/15/2019,72.82
5/8/2019,82.02
5/1/2019,89.8
4/24/2019,92.43
4/17/2019,93.37
4/10/2019,88.9
4/3/2019,91.92
3/27/2019,61.69
3/20/2019,78.25
3/13/2019,77.4
3/6/2019,73.9
2/27/2019,79.33
2/20/2019,77.86
2/13/2019,82.01
2/6/2019,83.39
1/30/2019,76.33
1/23/2019,72.84
1/16/2019,75.51
1/9/2019,66.8
1/2/2019,59.43
12/26/2018,47.59
12/19/2018,31.96
12/12/2018,55.51
12/5/2018,61.96
11/28/2018,53.21
11/21/2018,30.55
11/14/2018,35.13
11/7/2018,64.96
10/31/2018,61.47
10/24/2018,51.49
10/18/2018,67.76
10/10/2018,52.86
10/3/2018,84.49
9/26/2018,90.73
9/19/2018,83.92
9/12/2018,90.19
9/5/2018,85.01
8/29/2018,98.3
8/22/2018,86.46
8/15/2018,78.27
8/8/2018,87.6
8/1/2018,76.36
7/25/2018,84.96
7/18/2018,82.01
7/11/2018,88.56
7/4/2018,76.38
6/27/2018,85.06
6/20/2018,89.2
6/13/2018,103.93
6/6/2018,91.67
5/30/2018,82.24
5/23/2018,83.95
5/16/2018,85.43
5/9/2018,69.82
5/2/2018,52.56
4/25/2018,64.2
4/18/2018,77.64
4/11/2018,65.12
4/4/2018,55.57
3/28/2018,49.36
3/21/2018,77.28
3/14/2018,85.35
3/7/2018,72.05
2/28/2018,81
2/21/2018,62.69
2/14/2018,65.43
2/7/2018,75.9
1/31/2018,84.93
1/24/2018,95.38
1/17/2018,86.34
10-Jan-18,88.88
3-Jan-18,90.40
27-Dec-17,96.29
20-Dec-17,101.85
13-Dec-17,120.56
6-Dec-17,89.84
29-Nov-17,97.34
22-Nov-17,88.37
15-Nov-17,78.51
8-Nov-17,87.23
1-Nov-17,83.08
25-Oct-17,91.37
18-Oct-17,95.38
11-Oct-17,95.84
4-Oct-17,109.20
27-Sep-17,106.63
20-Sep-17,102.04
13-Sep-17,97.13
6-Sep-17,88.66
30-Aug-17,84.08
23-Aug-17,87.93
16-Aug-17,85.19
9-Aug-17,83.82
2-Aug-17,90.95
26-Jul-17,96.39
19-Jul-17,85.82
12-Jul-17,90.99
5-Jul-17,93.36
28-Jun-17,97.47
21-Jun-17,92.69
14-Jun-17,93.37
7-Jun-17,92.10
31-May-17,95.86
24-May-17,97.49
17-May-17,94.62
10-May-17,95.20
3-May-17,82.31
26-Apr-17,88.09
19-Apr-17,74.20
12-Apr-17,82.95
5-Apr-17,71.02
29-Mar-17,68.28
22-Mar-17,68.68
15-Mar-17,80.77
8-Mar-17,87.09
1-Mar-17,102.07
22-Feb-17,100.83
15-Feb-17,95.89
8-Feb-17,96.26
1-Feb-17,94.02
25-Jan-17,99.28
18-Jan-17,94.09
11-Jan-17,89.29
4-Jan-17,99.43
28-Dec-16,100.60
21-Dec-16,101.33
14-Dec-16,96.23
7-Dec-16,101.60
30-Nov-16,98.02
23-Nov-16,86.56
15-Nov-16,83.42
9-Nov-16,72.96
2-Nov-16,58.08
26-Oct-16,66.47
19-Oct-16,63.70
12-Oct-16,86.53
5-Oct-16,78.49
28-Sep-16,84.52
21-Sep-16,79.31
14-Sep-16,68.55
7-Sep-16,90.85
31-Aug-16,88.10
24-Aug-16,97.80
17-Aug-16,98.79
10-Aug-16,92.86
3-Aug-16,93.05
27-Jul-16,101.02
20-Jul-16,92.64
13-Jul-16,96.52
6-Jul-16,65.43
29-Jun-16,74.52
22-Jun-16,69.35
15-Jun-16,75.96
8-Jun-16,74.80
1-Jun-16,68.94
25-May-16,64.67
18-May-16,60.17
11-May-16,49.55
4-May-16,67.66
27-Apr-16,74.19
20-Apr-16,82.50
13-Apr-16,63.97
6-Apr-16,73.21
30-Mar-16,67.94
23-Mar-16,59.59
16-Mar-16,62.72
9-Mar-16,51.01
2-Mar-16,54.44
24-Feb-16,31.65
17-Feb-16,41.05
10-Feb-16,32.87
3-Feb-16,22.41
27-Jan-16,42.25
13-Jan-16,34.50
6-Jan-16,50.26
30-Dec-15,47.67
23-Dec-15,56.66
16-Dec-15,61.32
9-Dec-15,67.92
2-Dec-15,68.12
25-Nov-15,70.45
18-Nov-15,58.47
11-Nov-15,68.58
4-Nov-15,69.16
28-Oct-15,56.71
21-Oct-15,35.67
14-Oct-15,44.27
7-Oct-15,38.30
30-Sep-15,16.39
23-Sep-15,21.34
16-Sep-15,31.57
9-Sep-15,26.04
2-Sep-15,23.85
26-Aug-15,28.31
19-Aug-15,41.48
12-Aug-15,48.08
5-Aug-15,63.17
29-Jul-15,50.75
22-Jul-15,52.34
15-Jul-15,52.24
8-Jul-15,54.99
1-Jul-15,54.84
24-Jun-15,58.96
17-Jun-15,58.64
10-Jun-15,68.70
3-Jun-15,71.07
27-May-15,65.50
20-May-15,67.61
13-May-15,60.38
6-May-15,80.30
29-Apr-15,90.60
22-Apr-15,75.88
15-Apr-15,86.67
8-Apr-15,86.73
1-Apr-15,75.86
25-Mar-15,84.32
11-Mar-15,65.68
4-Mar-15,92.15
25-Feb-15,99.23
18-Feb-15,87.81
11-Feb-15,84.05
4-Feb-15,88.24
28-Jan-15,92.62
21-Jan-15,89.01
14-Jan-15,87.13
7-Jan-15,71.11
31-Dec-14,95.86
24-Dec-14,90.59
17-Dec-14,65.12
10-Dec-14,89.01
3-Dec-14,86.06
25-Nov-14,86.78
19-Nov-14,72.06
12-Nov-14,85.43
5-Nov-14,77.68
29-Oct-14,74.78
22-Oct-14,41.38
15-Oct-14,9.97
8-Oct-14,33.14
1-Oct-14,41.03
24-Sep-14,59.76
17-Sep-14,67.08
10-Sep-14,63.63
3-Sep-14,82.49
27-Aug-14,78.84
20-Aug-14,56.77
13-Aug-14,50.61
6-Aug-14,50.87
30-Jul-14,81.62
23-Jul-14,82.75
16-Jul-14,81.91
9-Jul-14,82.47
2-Jul-14,85.48
25-Jun-14,88.15
18-Jun-14,88.59
11-Jun-14,87.30
4-Jun-14,90.86
28-May-14,72.52
21-May-14,67.23
14-May-14,78.18
7-May-14,76.81
30-Apr-14,82.63
23-Apr-14,76.58
16-Apr-14,75.92
9-Apr-14,85.21
2-Apr-14,91.43
26-Mar-14,91.12
19-Mar-14,89.84
18-Mar-14,67.77
12-Mar-14,85.20
5-Mar-14,89.06
26-Feb-14,91.62
19-Feb-14,75.95
12-Feb-14,73.26
5-Feb-14,50.97
29-Jan-14,70.94
22-Jan-14,95.13
15-Jan-14,96.83
8-Jan-14,92.27
2-Jan-14,95.03
26-Dec-13,98.94
18-Dec-13,94.35
11-Dec-13,100.69
4-Dec-13,94.75
27-Nov-13,101.45
20-Nov-13,87.43
13-Nov-13,80.67
6-Nov-13,84.81
30-Oct-13,94.59
23-Oct-13,79.37
16-Oct-13,82.05
9-Oct-13,54.26
2-Oct-13,73.13
25-Sep-13,80.47
18-Sep-13,62.48
11-Sep-13,66.75
4-Sep-13,42.26
28-Aug-13,46.92
21-Aug-13,34.76
14-Aug-13,69.85
7-Aug-13,75.70
31-Jul-13,74.05
24-Jul-13,87.50
17-Jul-13,61.73
10-Jul-13,47.08
3-Jul-13,39.91
26-Jun-13,34.21
19-Jun-13,51.53
12-Jun-13,61.90
5-Jun-13,51.58
29-May-13,77.19
22-May-13,82.02
15-May-13,84.23
8-May-13,79.11
1-May-13,80.61
24-Apr-13,69.90
17-Apr-13,69.63
10-Apr-13,77.25
3-Apr-13,72.71
27-Mar-13,80.06
20-Mar-13,79.77
13-Mar-13,85.64
6-Mar-13,90.15
27-Feb-13,82.77
20-Feb-13,91.07
13-Feb-13,89.85
6-Feb-13,94.06
30-Jan-13,104.25
23-Jan-13,86.38
16-Jan-13,84.67
9-Jan-13,83.27
2-Jan-13,75.98
26-Dec-12,88.10
19-Dec-12,80.19
12-Dec-12,82.91
5-Dec-12,75.71
28-Nov-12,55.19
21-Nov-12,64.20
14-Nov-12,67.22
7-Nov-12,57.95
31-Oct-12,75.11
24-Oct-12,64.39
17-Oct-12,65.38
10-Oct-12,64.59
3-Oct-12,76.03
26-Sep-12,69.75
19-Sep-12,81.19
12-Sep-12,72.99
5-Sep-12,77.43
29-Aug-12,82.89
22-Aug-12,69.21
15-Aug-12,76.26
8-Aug-12,70.75
1-Aug-12,67.80
25-Jul-12,74.39
18-Jul-12,67.74
11-Jul-12,61.85
5-Jul-12,63.28
27-Jun-12,44.84
20-Jun-12,52.33
13-Jun-12,43.63
6-Jun-12,49.32
30-May-12,28.65
23-May-12,31.78
16-May-12,58.71
9-May-12,64.21
2-May-12,63.68
25-Apr-12,48.31
18-Apr-12,46.14
11-Apr-12,51.93
4-Apr-12,69.82
28-Mar-12,71.97
21-Mar-12,68.64
14-Mar-12,71.79
7-Mar-12,57.37
29-Feb-12,73.78
22-Feb-12,76.28
15-Feb-12,73.00
8-Feb-12,72.66
1-Feb-12,67.52
25-Jan-12,56.33
18-Jan-12,52.50
11-Jan-12,49.34
4-Jan-12,43.14
28-Dec-11,43.56
21-Dec-11,36.62
14-Dec-11,35.69
7-Dec-11,34.80
30-Nov-11,30.02
23-Nov-11,34.77
16-Nov-11,54.00
9-Nov-11,44.05
2-Nov-11,45.43
26-Oct-11,38.12
19-Oct-11,21.32
12-Oct-11,0.00
5-Oct-11,-3.56
28-Sep-11,4.18
21-Sep-11,27.90
14-Sep-11,26.78
7-Sep-11,25.31
31-Aug-11,22.19
24-Aug-11,20.17
17-Aug-11,28.78
10-Aug-11,21.40
3-Aug-11,32.87
27-Jul-11,62.70
20-Jul-11,66.31
13-Jul-11,53.93
6-Jul-11,50.39
29-Jun-11,31.98
22-Jun-11,29.28
15-Jun-11,25.95
8-Jun-11,42.79
1-Jun-11,52.86
25-May-11,58.93
18-May-11,68.41
11-May-11,74.66
4-May-11,76.13
27-Apr-11,81.90
20-Apr-11,82.95
13-Apr-11,80.63
6-Apr-11,80.79
30-Mar-11,70.92
23-Mar-11,50.83
16-Mar-11,41.00
9-Mar-11,75.34
2-Mar-11,70.92
23-Feb-11,68.13
16-Feb-11,83.73
9-Feb-11,86.28
2-Feb-11,82.13
26-Jan-11,76.18
19-Jan-11,70.83
12-Jan-11,76.88
5-Jan-11,78.51
29-Dec-10,80.21
22-Dec-10,81.83
15-Dec-10,74.74
8-Dec-10,63.11
1-Dec-10,62.47
24-Nov-10,66.67
17-Nov-10,66.59
11-Nov-10,71.46
3-Nov-10,69.47
27-Oct-10,57.66
20-Oct-10,72.17
13-Oct-10,67.14
6-Oct-10,76.42
29-Sep-10,68.26
22-Sep-10,55.29
15-Sep-10,42.30
8-Sep-10,48.26
1-Sep-10,52.78
25-Aug-10,43.94
18-Aug-10,56.08
11-Aug-10,54.68
4-Aug-10,59.11
28-Jul-10,50.21
21-Jul-10,45.33
14-Jul-10,49.85
7-Jul-10,13.47
30-Jun-10,36.05
23-Jun-10,54.24
16-Jun-10,30.42
9-Jun-10,34.76
2-Jun-10,27.05
26-May-10,40.67
19-May-10,40.38
12-May-10,42.39
5-May-10,67.89
28-Apr-10,83.91
21-Apr-10,81.64
14-Apr-10,77.22
7-Apr-10,85.91
31-Mar-10,83.26
24-Mar-10,76.45
17-Mar-10,77.30
10-Mar-10,51.19
3-Mar-10,54.89
24-Feb-10,44.55
17-Feb-10,36.51
10-Feb-10,21.76
3-Feb-10,33.18
27-Jan-10,61.91
20-Jan-10,63.83
13-Jan-10,72.97
6-Jan-10,70.65
30-Dec-09,74.56
23-Dec-09,61.08
16-Dec-09,75.57
9-Dec-09,68.74
2-Dec-09,82.19
25-Nov-09,67.07
18-Nov-09,65.56
11-Nov-09,69.21
4-Nov-09,64.94
28-Oct-09,74.68
21-Oct-09,77.83
14-Oct-09,74.38
7-Oct-09,67.86
30-Sep-09,86.41
23-Sep-09,80.64
16-Sep-09,68.00
9-Sep-09,63.06
2-Sep-09,54.71
26-Aug-09,55.21
19-Aug-09,31.22
12-Aug-09,51.56
5-Aug-09,69.00
29-Jul-09,37.41
22-Jul-09,37.38
15-Jul-09,22.61
8-Jul-09,21.65
1-Jul-09,35.67
24-Jun-09,27.97
17-Jun-09,49.92
10-Jun-09,64.81
3-Jun-09,51.46
27-May-09,40.34
20-May-09,50.41
13-May-09,56.82
6-May-09,33.19
29-Apr-09,35.76
22-Apr-09,22.67
15-Apr-09,41.61
8-Apr-09,35.30
1-Apr-09,18.85
25-Mar-09,47.75
18-Mar-09,9.97
11-Mar-09,4.23
4-Mar-09,2.15
25-Feb-09,13.35
18-Feb-09,25.97
11-Feb-09,24.14
4-Feb-09,17.80
28-Jan-09,20.22
21-Jan-09,19.67
14-Jan-09,26.51
7-Jan-09,29.09
31-Dec-08,22.06
24-Dec-08,24.41
